"id","item_id","latitude","longitude","zoom_level","map_type","address"
300,49,47.6241674,4.3373194,8,Leaflet,Montbard+(Côte+d’or) 
301,51,48.8566101,2.3514992,8,Leaflet,Paris 
302,52,48.8566101,2.3514992,8,Leaflet,Paris 
303,53,48.8566101,2.3514992,8,Leaflet,Paris 
304,54,48.8566101,2.3514992,8,Leaflet,Paris 
305,55,48.8566101,2.3514992,8,Leaflet,Paris 
306,56,43.4933379,-1.475099,8,Leaflet,Bayonne+(Pyrénées+Atlantiques) 
307,57,48.8566101,2.3514992,8,Leaflet,Paris 
308,58,43.6044622,1.4442469,8,Leaflet,Toulouse+(Haute-Garonne) 
309,60,43.2961743,5.3699525,8,Leaflet,Marseille+(Bouches+du+Rhône). 
310,61,48.706046,2.7619335,8,Leaflet,Gagny+(Seine+et+Oise). 
311,62,48.8566101,2.3514992,8,Leaflet,Paris 
312,64,46.6705431,-1.4269698,14,Leaflet,"La Roche sur Yon, Vendée"
313,65,48.89210335,2.3481688483715,8,Leaflet,Paris+(18e+arrondissement) 
314,67,43.2961743,5.3699525,8,Leaflet,Marseille+(Bouches+du+Rhône) 
315,68,48.8566101,2.3514992,8,Leaflet,Paris 
316,69,48.8566101,2.3514992,8,Leaflet,Paris 
317,70,48.8566101,2.3514992,8,Leaflet,Paris 
318,71,43.4611777,3.4228323,8,Leaflet,Pézenas+(Hérault) 
319,72,44.841225,-0.5800364,8,Leaflet,Bordeaux+(Gironde) 
320,73,48.8566101,2.3514992,8,Leaflet,Paris 
321,74,48.8566101,2.3514992,8,Leaflet,Paris 
322,75,48.8566101,2.3514992,8,Leaflet,Paris 
323,76,48.8566101,2.3514992,8,Leaflet,Paris 
324,77,48.8566101,2.3514992,8,Leaflet,Paris 
325,78,48.8566101,2.3514992,8,Leaflet,Paris 
326,79,49.6456303,0.3661017,8,Leaflet,Goderville+(Seine+Maritime) 
327,80,49.2871086,1.0108998,8,Leaflet,Elbeuf+(Seine-Maritime) 
328,81,48.8566101,2.3514992,8,Leaflet,Paris 
329,82,48.8566101,2.3514992,8,Leaflet,Paris 
330,83,47.2186371,-1.5541362,8,Leaflet,Nantes+(Loire+Atlantique) 
331,84,48.8566101,2.3514992,8,Leaflet,Paris 
332,85,48.8566101,2.3514992,8,Leaflet,Paris 
333,86,48.8566101,2.3514992,8,Leaflet,Paris 
334,87,46.1591126,-1.1520434,8,Leaflet,La+Rochelle+(Charente+Maritime) 
335,88,45.3937745,5.2604941,8,Leaflet,La+Côte-Saint-André+(Isère) 
336,89,45.6754622,6.3925417,8,Leaflet,Albertville+(Savoie) 
337,90,48.8566101,2.3514992,8,Leaflet,Paris 
338,91,46.5437731,4.6868549,8,Leaflet,Cormatin+(Saône-et-Loire) 
339,92,48.8566101,2.3514992,8,Leaflet,Paris 
340,93,43.5875185,1.8526639,8,Leaflet,Lavaur+(Tarn) 
341,94,48.884683,2.2695658,8,Leaflet,Neuilly-sur-Seine+(Hauts+de+Seine) 
342,95,48.8566101,2.3514992,8,Leaflet,Paris 
343,96,48.8566101,2.3514992,8,Leaflet,Paris 
344,97,48.7887646,2.5021577282347,8,Leaflet,Saint-Maur-les-fossés++(Val-de-Marne) 
345,98,49.564665,3.620686,8,Leaflet,Laon+(Aisne) 
346,99,48.8566101,2.3514992,8,Leaflet,Paris 
347,100,49.2157245,1.1646335,8,Leaflet,Louviers+(Eure) 
348,101,45.7166676,8.2768572,12,Leaflet,"Borgosesia, Italie"
349,102,48.8566101,2.3514992,8,Leaflet,Paris 
350,103,48.8566101,2.3514992,8,Leaflet,Paris 
351,104,48.8566101,2.3514992,8,Leaflet,Paris 
352,105,48.8035403,2.1266886,8,Leaflet,Versailles+(Yvelines) 
353,106,43.6044622,1.4442469,8,Photon,Toulouse+(Haute-Garonne) 
354,107,48.2332047,4.7058337,8,Photon,Bar-sur-Aube+(Aube) 
355,108,49.06382655,0.18587290287897,8,Photon,Orbec-sur-Auge+(Calvados) 
356,109,48.8566101,2.3514992,8,Photon,Paris 
357,110,48.8566101,2.3514992,8,Leaflet,Paris 
358,111,48.8566101,2.3514992,8,Leaflet,Paris 
359,112,48.8566101,2.3514992,8,Leaflet,Paris 
360,113,47.3592304,-1.9421244,8,Leaflet,Savenay+(Loire-Inférieure). 
361,114,50.3752242,3.5137253,8,Leaflet,Anzin+(Nord) 
362,115,48.8995916,2.4985804,8,Leaflet,Montmartre+(Seine) 
363,116,48.8566101,2.3514992,8,Leaflet,Paris 
