record_id,portraited_person,wikidata_id,filename,creator,name_norm,creator_wikidata_id,created,description,format,publisher,rights,source,subject,original_filename,size
632,Charles Gumery (1827-1871),Q2271869,6126c8e6cb1ffeb83e7b7596cffc066c.jpg,Paul-Jacques-Aimé Baudry,Paul-Jacques-Aimé Baudry,Q911575,1851-1855,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.175,portrait,GUMERY.jpg,89788
637,Fromental Halévy (1799-1862),Q313917,9311496c8d3573c1d7ac73e6ec6ae422.jpg,François Dubois,François Dubois,Q2126266,1820-1824,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.40,portrait,halévy2016_0_40 dopo (FILEminimizer).jpeg,243311
646,Ernest Hébert (1817-1908),Q1350125,faf533cdd99f7c240d9fc36c7e772eaa.jpg,Ernest Hébert,Ernest Hébert,Q1350125,1845,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.124,auto-portrait,HÉBERT.jpg,417033
651,Jean-Jacques Henner (1829-1905),Q665818,9234225eb28faf1a8270f7633acc7fb4.jpg,Jean-Jacques Henner,Jean-Jacques Henner,Q665818,1855,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.210,auto-portrait,HENNER.JPG,110528
655,Ferdinand Hérold (1791-1833),Q362639,52a986bf14455cec40aedd20cce592d6.jpg,NA,NA,NA,1812,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.6,portrait,HEROLD.jpg,60524
660,Lucien Joseph Edouard Hillemacher (1860-1909),Q32985098,2bc25950130caebd034fd37dc1e45862.jpg,Henri Lucien Doucet,Henri Lucien Doucet,Q3130432,1880,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.315,portrait,HILLEMACHER Lucien.jpg,80227
661,Paul Joseph Guillaume Hillemacher (1852-1933),Q2060201,b68ec3a02f4491a299b617dda8860f6a.jpg,Joseph Wencker,Joseph Wencker,Q3185784,1876,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.301,portrait,HILLEMACHER Paul.jpg,184933
663,Ernest-Eugène Hiolle (1834-1886),Q2749109,23b96849aab6b226bce01c881fc2d62c.jpg,Alphonse Monchablon,Alphonse Monchablon,Q2839915,1863,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.232,portrait,HIOLLE.jpg,158611
673,Georges Hüe (1858-1948),Q358965,99423970fae3bd6115d0a5c63b4b951f.jpg,Alfred-Henri Bramtot,Alfred-Henri Bramtot,Q19788029,1881,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.314,portrait,HÜE.jpg,146600
674,Jean-Baptiste Hugues (1849-1930),Q3164160,4cb0401ded05cacd06edc9473fd97332.jpg,Léon Comerre,Léon Comerre,Q1798144,1875,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.293,portrait,HUGUES.jpg,131642
677,Adolphe Joseph Huot (1839-1883),Q38031227,d2b131ed72b3df5eaa7c0fdd825b5241.jpg,Alphonse Monchablon,Alphonse Monchablon,Q2839915,1867,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.234,portrait,HUOT.jpg,130739
679,Honoré-Jean-Aristide Husson (1803-1864),Q3140236,af1d35f3086f0fa576c17d9f44378030.jpg,Paul Jourdy,Paul Jourdy,Q3371550,1836,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.82,portrait,HUSSON.JPG,82491
685,Antonin Idrac (1849-1884),Q599557,4757734de4f23a5a6861ec1a2cca7ed1.jpg,Aimé Morot,Aimé Morot,Q405759,1878,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.286,portrait,IDRAC.jpg,143000
686,Jean Auguste Dominique Ingres (1780-1867),Q23380,3b7e1c297f9fd186754cca3c36d7a573.jpg,Jean-Auguste-Dominique Ingres,Jean-Auguste-Dominique Ingres,Q23380,1801,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.2,auto-portrait,INGRES.jpg,79167
687,Jean Antoine Injalbert (1845-1933),Q2746989,942281731df600215934c885ddf75696.jpg,Léon Comerre,Léon Comerre,Q1798144,1879,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.290,portrait,INJALBERT.jpg,131980
689,Achille Jacquet (1846-1908),Q2823071,b2776ee366e1ce8642e0bc36c6dac14c.jpg,Fernand Lematte,Fernand Lematte,Q1406521,1875,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.271,portrait,JACQUET Achille.jpg,96955
690,Jules Jacquet (1841-1913),Q4177891,cdd426a89ae08f04f74679e4a42a90ea.jpg,anonymous,anonymous,Q4233718,1866,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.257,portrait,JACQUET Jules.jpg,108992
691,Georges Jacquot (1794-1874),Q3102943,b714dfe85832bef944ae605676154a11.jpg,anonymous,anonymous,Q4233718,1820-1824,huile sur contreplaqué,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.43,portrait,JACQUOT Georges.jpg,314422
694,Jean-Louis Jaley (1802-1866),Q642956,53c3ace5751029341696931862e16972.jpg,Hippolyte Flandrin,Hippolyte Flandrin,Q472235,1833-1835,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.72,portrait,JALEY.JPG,292854
709,François Jouffroy (1806-1882),Q1374591,ca8e958ace6a2cefeecef36b1bf14613.jpg,anonymous,anonymous,Q4233718,1832,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.90,portrait,JOUFFROY.JPG,74522
710,Paul Jourdy (1805-1856),Q3371550,b3df77a0ebc3aeb51e864894ccc0fe3b.jpg,Isidore Pils,Isidore Pils,Q708968,1840,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.98,portrait,JOURDY.JPG,104920
714,Achille Joyau (1831-1873),Q11310604,222809b93bc228c130ee74d2d205ab53.jpg,Ernest Michel,Ernest Michel,Q3057087,1866,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.221,portrait,JOYAU.jpg,100970
719,Pierre De Coninck (1828-1910),Q3384648,7f02a66311ccfd32ccc6e366f460142b.jpg,Jean-Jacques Henner,Jean-Jacques Henner,Q665818,1863,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.213,portrait,DE KONINCK.jpg,41646
720,Aymé Kunc (1877-1958),Q431961,cb75e41b55701214a1a89bcf6ad8ff5f.jpg,Paul Sieffert,Paul Sieffert,Q3372199,1907,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.406,portrait,P406.jpg,91655
